WordItem,WordColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Welcome.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,textBlank.started,textBlank.stopped,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,textStudyTrials.started,textWaitScreen.started,keyWaitScreen.started,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.duration,textY_N_Screen.started,keyY_N.started,keyY_N.keys,keyY_N.rt,keyY_N.duration,textTestTrials.started,keyTestTrials.started,keyTestTrials.keys,keyTestTrials.rt,keyTestTrials.duration,textEndScreen.started,textEndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,15.902035600003728,15.902035600003728,space,4.479895000004035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
,,,,,,,,,,,,,,,20.402150699999765,20.902486800005136,20.902486800005136,20.902486800005136,space,6.037304499994207,None,,,,,,,,,,,,,,,,,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
contented,yellow,0,0,0,5,,,,,,,,,,28.96883340000204,,,,,,,26.977099399999133,,,,,,,,,,,,,,,,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
vexed,blue,0,1,1,2,,,,,,,,,,31.465632600004028,,,,,,,29.476330400000734,,,,,,,,,,,,,,,,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
excited,yellow,0,2,2,3,,,,,,,,,,33.96454950000043,,,,,,,31.964355299998715,,,,,,,,,,,,,,,,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
anxious,blue,0,3,3,0,,,,,,,,,,36.46920089999912,,,,,,,34.46646390000387,,,,,,,,,,,,,,,,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
depressed,blue,0,4,4,1,,,,,,,,,,38.96531479999976,,,,,,,36.97611500000494,,,,,,,,,,,,,,,,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
joyous,yellow,0,5,5,4,,,,,,,,,,41.468310700001894,,,,,,,39.467582299999776,,,,,,,,,,,,,,,,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
,,,,,,,,,,,,,,,,,,,,,,,41.96878000000288,41.96878000000288,space,2.849950199997693,None,,,,,,,,,,,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.83552100000088,44.83552100000088,space,2.8127596999984235,None,,,,,,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
ashamed,None,,,,,0,0,0,8,,,,,,49.64242219999869,50.14281140000094,,,,,,,,,,,,,,,,,48.17615790000127,48.17615790000127,n,1.4536416999981157,None,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
vexed,blue,,,,,0,1,1,2,,,,,,51.697554300000775,52.20028650000313,,,,,,,,,,,,,,,,,50.14281140000094,50.14281140000094,y,1.533914100000402,None,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
fascinated,None,,,,,0,2,2,7,,,,,,53.45668190000288,53.964745900004345,,,,,,,,,,,,,,,,,52.20028650000313,52.20028650000313,n,1.2382193999947049,None,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
jealous,None,,,,,0,3,3,6,,,,,,55.08640920000471,55.58747690000018,,,,,,,,,,,,,,,,,53.964745900004345,53.964745900004345,n,1.1009702000010293,None,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
contented,yellow,,,,,0,4,4,5,,,,,,56.80109110000194,57.30857829999877,,,,,,,,,,,,,,,,,55.58747690000018,55.58747690000018,y,1.2006820000024163,None,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
joyous,yellow,,,,,0,5,5,4,,,,,,58.354182000002766,58.85313780000433,,,,,,,,,,,,,,,,,57.30857829999877,57.30857829999877,y,1.0319401000015205,None,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
anxious,blue,,,,,0,6,6,0,,,,,,61.48615889999928,61.988334500005294,,,,,,,,,,,,,,,,,58.85313780000433,58.85313780000433,y,2.621975999994902,None,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
delighted,None,,,,,0,7,7,11,,,,,,63.101373900004546,63.60928029999923,,,,,,,,,,,,,,,,,61.988334500005294,61.988334500005294,n,1.0981552000012016,None,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
depressed,blue,,,,,0,8,8,1,,,,,,64.29735900000378,64.79852370000299,,,,,,,,,,,,,,,,,63.60928029999923,63.60928029999923,y,0.6759916999944835,None,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
aggravated,None,,,,,0,9,9,9,,,,,,65.46780530000251,65.97547460000351,,,,,,,,,,,,,,,,,64.79852370000299,64.79852370000299,n,0.6541598000039812,None,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
excited,yellow,,,,,0,10,10,3,,,,,,66.89770670000144,67.39754340000218,,,,,,,,,,,,,,,,,65.97547460000351,65.97547460000351,y,0.9045804999987013,None,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
calm,None,,,,,0,11,11,10,,,,,,68.01989139999932,68.51931310000509,,,,,,,,,,,,,,,,,67.39754340000218,67.39754340000218,n,0.6103963999994448,None,,,,001,2023-11-30_14h50.18.956,LabInPsychProject,2023.1.3,90.6249405272184,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.51931310000509,73.520062399999,,,,,,,
